,Date,T_max,T_min,T_avg,Rain
0,2015-1-1,-1.1,-6.1,-3.6,0.0
1,2015-1-2,2.1,-1.8,0.15,0.4
2,2015-1-3,6.9,4.4,5.65,4.5
3,2015-1-4,5.6,1.1,3.35,0.4
4,2015-1-5,3.8,1.0,2.4,0.4
5,2015-1-6,3.6,-0.1,1.75,0.0
6,2015-1-7,0.3,-6.6,-3.15,0.0
7,2015-1-8,-1.9,-4.6,-3.25,0.7
8,2015-1-9,8.2,-2.4,2.9,2.7
9,2015-1-10,17.0,5.7,11.35,3.6
10,2015-1-11,16.8,5.1,10.95,0.8
11,2015-1-12,8.3,2.9,5.6,0.0
12,2015-1-13,9.4,0.8,5.1,0.0
13,2015-1-14,5.6,-0.5,2.55,0.0
14,2015-1-15,10.9,3.3,7.1,0.0
15,2015-1-16,6.8,3.8,5.3,0.0
16,2015-1-17,6.9,2.3,4.6,0.0
17,2015-1-18,6.9,5.0,5.95,0.0
18,2015-1-19,6.8,3.9,5.35,0.0
19,2015-1-20,7.9,4.6,6.25,1.3
20,2015-1-21,7.1,4.8,5.95,0.9
21,2015-1-22,8.3,6.4,7.35,0.4
22,2015-1-23,8.9,6.6,7.75,15.5
23,2015-1-24,6.9,3.3,5.1,11.5
24,2015-1-25,3.2,0.6,1.9,2.8
25,2015-1-26,4.3,0.9,2.6,0.0
26,2015-1-27,3.5,-3.1,0.2,0.0
27,2015-1-28,7.4,-1.6,2.9,0.0
28,2015-1-29,1.5,-1.2,0.15,7.7
29,2015-1-30,5.9,0.5,3.2,9.9
30,2015-1-31,6.4,1.1,3.75,0.0
31,2015-2-1,3.6,-1.1,1.25,0.0
32,2015-2-2,5.8,1.8,3.8,0.0
33,2015-2-3,5.6,-1.1,2.25,1.3
34,2015-2-4,2.8,1.2,2.0,0.0
35,2015-2-5,5.4,-0.7,2.35,0.0
36,2015-2-6,4.8,0.4,2.6,0.0
37,2015-2-7,5.0,-0.5,2.25,0.0
38,2015-2-8,4.3,-2.5,0.9,0.0
39,2015-2-9,1.6,-2.7,-0.55,0.3
40,2015-2-10,7.3,1.6,4.45,0.0
41,2015-2-11,11.3,1.0,6.15,0.0
42,2015-2-12,8.9,4.1,6.5,0.0
43,2015-2-13,9.8,-0.7,4.55,0.0
44,2015-2-14,10.3,0.3,5.3,0.0
45,2015-2-15,11.8,1.2,6.5,0.0
46,2015-2-16,10.4,0.2,5.3,0.0
47,2015-2-17,4.5,-0.6,1.95,0.0
48,2015-2-18,8.5,-3.1,2.7,0.0
49,2015-2-19,6.4,-0.1,3.15,0.0
50,2015-2-20,10.4,-1.9,4.25,0.0
51,2015-2-21,11.9,1.1,6.5,0.0
52,2015-2-22,10.4,3.8,7.1,0.9
53,2015-2-23,9.2,6.7,7.95,0.9
54,2015-2-24,9.6,7.4,8.5,0.0
55,2015-2-25,11.8,6.6,9.2,5.4
56,2015-2-26,7.4,5.6,6.5,5.4
57,2015-2-27,7.9,4.8,6.35,0.9
58,2015-2-28,9.6,5.8,7.7,0.0
59,2015-3-1,9.5,5.8,7.65,0.1
60,2015-3-2,12.2,4.2,8.2,0.4
61,2015-3-3,9.5,4.7,7.1,0.0
62,2015-3-4,12.3,1.4,6.85,0.0
63,2015-3-5,9.3,3.2,6.25,0.0
64,2015-3-6,9.8,1.9,5.85,0.0
65,2015-3-7,12.0,0.4,6.2,0.0
66,2015-3-8,13.2,0.4,6.8,0.0
67,2015-3-9,13.6,0.9,7.25,0.0
68,2015-3-10,16.9,2.6,9.75,0.0
69,2015-3-11,13.9,5.7,9.8,0.3
70,2015-3-12,9.2,5.0,7.1,0.4
71,2015-3-13,9.4,5.1,7.25,0.4
72,2015-3-14,8.1,5.0,6.55,0.0
73,2015-3-15,14.1,5.8,9.95,0.0
74,2015-3-16,15.6,7.9,11.75,0.0
75,2015-3-17,16.5,6.3,11.4,0.0
76,2015-3-18,13.7,5.1,9.4,0.0
77,2015-3-19,13.1,3.4,8.25,0.0
78,2015-3-20,13.4,3.6,8.5,0.0
79,2015-3-21,17.5,1.5,9.5,0.0
80,2015-3-22,16.4,5.6,11.0,0.0
81,2015-3-23,14.2,2.1,8.15,0.0
82,2015-3-24,16.9,4.5,10.7,0.0
83,2015-3-25,17.5,7.4,12.45,0.1
84,2015-3-26,20.4,9.9,15.15,0.0
85,2015-3-27,15.5,9.2,12.35,1.3
86,2015-3-28,13.0,7.4,10.2,0.0
87,2015-3-29,15.0,5.3,10.15,0.4
88,2015-3-30,12.6,7.6,10.1,3.6
89,2015-3-31,14.1,4.1,9.1,2.7
90,2015-4-1,11.3,4.8,8.05,0.9
91,2015-4-2,11.0,3.4,7.2,0.9
92,2015-4-3,9.6,3.0,6.3,0.4
93,2015-4-4,11.9,0.4,6.15,0.0
94,2015-4-5,12.6,3.0,7.8,0.0
95,2015-4-6,10.1,3.2,6.65,0.0
96,2015-4-7,12.7,5.1,8.9,0.0
97,2015-4-8,14.2,7.2,10.7,2.7
98,2015-4-9,17.5,5.1,11.3,0.0
99,2015-4-10,20.7,5.2,12.95,0.0
100,2015-4-11,22.8,7.5,15.15,0.0
101,2015-4-12,22.6,14.1,18.35,0.0
102,2015-4-13,22.9,10.3,16.6,0.0
103,2015-4-14,15.5,7.8,11.65,0.0
104,2015-4-15,24.1,9.8,16.95,0.0
105,2015-4-16,27.9,11.2,19.55,0.0
106,2015-4-17,24.8,14.6,19.7,1.3
107,2015-4-18,14.6,9.6,12.1,0.0
108,2015-4-19,14.1,4.5,9.3,0.0
109,2015-4-20,17.6,6.7,12.15,0.0
110,2015-4-21,19.1,8.5,13.8,0.0
111,2015-4-22,21.3,11.9,16.6,0.0
112,2015-4-23,22.8,8.1,15.45,0.0
113,2015-4-24,24.1,10.9,17.5,0.0
114,2015-4-25,23.5,10.7,17.1,0.0
115,2015-4-26,23.4,12.6,18.0,0.0
116,2015-4-27,26.5,11.5,19.0,0.0
117,2015-4-28,22.6,14.7,18.65,0.4
118,2015-4-29,17.8,7.6,12.7,0.0
119,2015-4-30,20.0,7.3,13.65,0.0
120,2015-5-1,19.9,10.5,15.2,3.5
121,2015-5-2,18.6,12.1,15.35,2.6
122,2015-5-3,16.9,8.6,12.75,0.4
123,2015-5-4,24.5,11.9,18.2,0.0
124,2015-5-5,28.6,15.9,22.25,0.0
125,2015-5-6,29.0,17.4,23.2,0.0
126,2015-5-7,24.2,14.4,19.3,0.0
127,2015-5-8,25.4,13.1,19.25,0.0
128,2015-5-9,25.4,13.4,19.4,0.0
129,2015-5-10,22.8,15.9,19.35,0.0
130,2015-5-11,22.2,11.3,16.75,0.0
131,2015-5-12,25.5,10.7,18.1,0.0
132,2015-5-13,26.4,14.7,20.55,5.4
133,2015-5-14,23.2,15.1,19.15,0.0
134,2015-5-15,18.7,12.8,15.75,0.0
135,2015-5-16,23.8,12.3,18.05,0.0
136,2015-5-17,21.6,14.7,18.15,0.0
137,2015-5-18,25.4,11.6,18.5,0.0
138,2015-5-19,30.3,14.9,22.6,0.0
139,2015-5-20,29.9,17.6,23.75,2.2
140,2015-5-21,25.8,12.4,19.1,14.8
141,2015-5-22,15.9,12.9,14.4,4.9
142,2015-5-23,21.5,13.4,17.45,3.8
143,2015-5-24,23.4,14.5,18.95,1.3
144,2015-5-25,19.9,13.4,16.65,5.4
145,2015-5-26,23.2,13.8,18.5,0.9
146,2015-5-27,17.8,11.6,14.7,0.0
147,2015-5-28,18.3,9.6,13.95,0.0
148,2015-5-29,24.1,8.4,16.25,0.0
149,2015-5-30,26.6,12.4,19.5,10.3
150,2015-5-31,24.6,15.2,19.9,0.0
151,2015-6-1,28.2,13.8,21.0,0.0
152,2015-6-2,30.9,16.5,23.7,0.0
153,2015-6-3,32.3,17.2,24.75,0.0
154,2015-6-4,31.2,20.3,25.75,0.4
155,2015-6-5,27.5,17.6,22.55,0.0
156,2015-6-6,31.5,16.2,23.85,0.0
157,2015-6-7,31.8,18.5,25.15,0.0
158,2015-6-8,32.7,19.5,26.1,0.0
159,2015-6-9,29.9,17.2,23.55,50.4
160,2015-6-10,29.1,17.3,23.2,0.0
161,2015-6-11,29.6,19.6,24.6,0.0
162,2015-6-12,32.4,20.3,26.35,0.0
163,2015-6-13,31.9,20.7,26.3,0.0
164,2015-6-14,33.2,20.5,26.85,0.2
165,2015-6-15,30.0,20.8,25.4,6.3
166,2015-6-16,24.9,17.8,21.35,0.0
167,2015-6-17,23.0,14.1,18.55,0.0
168,2015-6-18,23.9,14.9,19.4,0.0
169,2015-6-19,22.4,14.9,18.65,0.0
170,2015-6-20,22.4,14.1,18.25,0.0
171,2015-6-21,22.8,11.9,17.35,0.0
172,2015-6-22,25.3,13.3,19.3,0.0
173,2015-6-23,23.3,13.9,18.6,1.3
174,2015-6-24,18.5,13.2,15.85,0.3
175,2015-6-25,24.4,12.8,18.6,0.0
176,2015-6-26,25.6,15.6,20.6,0.0
177,2015-6-27,25.9,14.8,20.35,0.0
178,2015-6-28,24.4,18.5,21.45,0.9
179,2015-6-29,26.5,17.1,21.8,0.0
180,2015-6-30,27.8,15.6,21.7,0.0
181,2015-7-1,30.8,18.0,24.4,0.0
182,2015-7-2,31.5,19.6,25.55,0.0
183,2015-7-3,31.3,20.9,26.1,0.0
184,2015-7-4,33.9,18.9,26.4,0.0
185,2015-7-5,35.4,21.7,28.55,0.0
186,2015-7-6,35.9,22.2,29.05,0.0
187,2015-7-7,36.6,25.2,30.9,0.0
188,2015-7-8,38.9,20.0,29.45,27.4
189,2015-7-9,25.9,18.6,22.25,0.0
190,2015-7-10,23.6,14.9,19.25,0.0
191,2015-7-11,27.8,13.9,20.85,0.0
192,2015-7-12,31.4,17.3,24.35,0.0
193,2015-7-13,28.9,20.5,24.7,0.0
194,2015-7-14,26.4,19.4,22.9,0.0
195,2015-7-15,29.6,21.2,25.4,0.0
196,2015-7-16,32.9,19.9,26.4,0.0
197,2015-7-17,35.3,22.4,28.85,0.0
198,2015-7-18,36.8,23.6,30.2,0.0
199,2015-7-19,36.0,22.4,29.2,0.0
200,2015-7-20,31.5,25.4,28.45,0.0
201,2015-7-21,34.9,21.9,28.4,0.0
202,2015-7-22,37.6,24.1,30.85,0.0
203,2015-7-23,38.1,24.9,31.5,4.0
204,2015-7-24,35.3,22.5,28.9,0.0
205,2015-7-25,35.6,22.6,29.1,4.3
206,2015-7-26,26.0,19.6,22.8,0.0
207,2015-7-27,25.0,16.4,20.7,2.5
208,2015-7-28,25.2,16.1,20.65,0.9
209,2015-7-29,23.5,17.1,20.3,0.4
210,2015-7-30,21.9,17.4,19.65,0.3
211,2015-7-31,26.7,17.5,22.1,0.0
212,2015-8-1,29.5,17.0,23.25,0.0
213,2015-8-2,28.5,18.2,23.35,1.3
214,2015-8-3,30.7,21.3,26.0,0.0
